trat;luz;temp;sub;umidade;rep;germ;plant;plantm;rm;plantanorm
171;escuro;35;RP;umido;1;4;4;6;0;0
171;escuro;35;RP;umido;2;2;2;8;0;0
171;escuro;35;RP;umido;3;5;5;5;0;0
172;escuro;35;SP;seco;1;5;5;5;0;0
172;escuro;35;SP;seco;2;1;1;9;0;0
172;escuro;35;SP;seco;3;5;5;5;0;0
173;escuro;35;SP;intermed;1;4;4;6;0;0
173;escuro;35;SP;intermed;2;1;1;9;0;0
173;escuro;35;SP;intermed;3;2;2;8;0;0
174;escuro;35;SP;umido;1;4;4;6;0;0
174;escuro;35;SP;umido;2;7;7;3;0;0
174;escuro;35;SP;umido;3;8;8;2;0;0
175;escuro;35;EP;seco;1;7;7;3;0;0
175;escuro;35;EP;seco;2;7;7;3;0;0
175;escuro;35;EP;seco;3;4;4;6;0;0
176;escuro;35;EP;intermed;1;5;5;5;0;0
176;escuro;35;EP;intermed;2;4;4;6;0;0
176;escuro;35;EP;intermed;3;6;6;4;0;0
177;escuro;35;EP;umido;1;3;3;7;0;0
177;escuro;35;EP;umido;2;6;6;4;0;0
